Delta Code            | Hex Code             
RF35                  | RF3E                 
Y376                  | Y378                 
TJ6J                  | TJ87                 
XAE2                  | XAEE                 
VA7C                  | VA75                 
RAFE                  | RAF5                 
YGDC                  | YGD5                 
YH8B                  | YH8B                 
RGC6                  | RGCA                 
YB3E                  | YB33                 
WEF2                  | WEFE                 
T7BJ                  | T7BF                 
VF7E                  | VF7E                 
YDH6                  | YDH6                 
V4C6                  | V4C2                 
VFC5                  | VFCC                 
W34D                  | W3G8                 
RC5C                  | RC55                 
YH2C                  | YH58                 
YD7D                  | YD7B                 
VDJC                  | VDF8                 
YJ5G                  | YJ5H                 
X3E5                  | X3E5                 
YE78                  | YBDD                 
WEEB                  | WEEB                 
WGG8                  | WG4C                 
TDBJ                  | TDBF                 
WFB4                  | WFB4                 
RGGH                  | RGF3                 
YB4H                  | YB44                 
WF4F                  | WF44                 
XB4J                  | XB67                 
YDH3                  | YDH3                 
X8G2                  | X8G2                 
X44D                  | X2G7                 
RGA8                  | RGAC                 
W6J3                  | W6JH                 
TG6D                  | TGA8                 
TJBE                  | TJB5                 
T5GE                  | T5GB                 
RD2J                  | RDH7                 
W33A                  | W3EG                 
SE76                  | SBDD                 
SGCE                  | SGC5                 
YCEC                  | YCBC                 
Z7FH                  | Z7FF                 
S738                  | S73C                 
V7G8                  | V74C                 
S74E                  | S74E                 
R456M                 | R45AN                
WJ73K                 | WJ73N                
Z78BK                 | Z78BK                
R3HEK                 | R3H3P                
WEDBP                 | WB78M                
